AccountCode__c,ACCOUNTSOURCE,Active__c,ANNUALREVENUE,BILLINGADDRESS,BILLINGCITY,BillingCountry,BILLINGPOSTALCODE,BillingState,BillingStreet,CREATEDBYID,CREATEDDATE,Description,ID,Industry,ISDELETED,JIGSAW,JIGSAWCOMPANYID,LASTACTIVITYDATE,LASTMODIFIEDBYID,LastModifiedDate__c,LASTREFERENCEDDATE,LASTVIEWEDDATE,MASTERRECORDID,NAICSCODE,NAICSDESC,NAME,NUMBEROFEMPLOYEES,NUMBEROFLOCATIONS__C,OwnerId,Owner.Email,PARENTID,PHONE,PHOTOURL,RATING,SHIPPINGADDRESS,SHIPPINGCITY,SHIPPINGCOUNTRY,SHIPPINGGEOCODEACCURACY,SHIPPINGLATITUDE,SHIPPINGLONGITUDE,SHIPPINGPOSTALCODE,SHIPPINGSTATE,SHIPPINGSTREET,SIC,SICDESC,SITE,SYSTEMMODSTAMP,TICKERSYMBOL,TRADESTYLE,Type,UPSELLOPPORTUNITY__C,WEBSITE,YEARSTARTED,YEARSTARTED
,,,,,,,,,,,0055j000003KfxOAAS,2021-12-21T05:49:58.000Z,,0015j00000ER9txAAD,,FALSE,,,,0055j000003KfxOAAS,12/21/2021,,,,,,Sample Account for Entitlements,,,0055j000003KfxOAAS,autoproc@00d5j0000044wkqea2,,,/services/images/photo/0015j00000ER9txAAD,,,,,,,,,,,,,,2021-12-21T05:49:58.000Z,,,,,,
CD451796,,Yes,1.39E+08,,Austin,Canada,,Texas,312 Constitution Place Austin,TX 78767 USA,0055j000003CitPAAS,2021-12-21T05:45:54.000Z,"Edge, founded in 1956, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",0015j00000EpzGuAAJ,FSI,FALSE,,,,0055j000003CitPAAS,12/21/2021,,,,,,Edge Communications,1000,2,0055j000003CitPAAS,kkavathekar@salesforce.com,,(512) 757-6000,/services/images/photo/0015j00000EpzGuAAJ,Hot,,,,,,,,,"312 Constitution Place Austin, TX 78767 USA",6576,,,2021-12-21T05:45:54.000Z,EDGE,,Customer,Maybe,http://edgecomm.com,
CD656092,,,3.50E+08,,Burlington,United States,27215,New York,525,S. Lexington Ave,0055j000003CitPAAS,2021-12-21T05:45:54.000Z,,0015j00000EpzGvAAJ,LSHC,FALSE,,,,0055j000003CitPAAS,12/21/2021,,,,,,Burlington Textiles Corp of America,9000,6,0055j000003CitPAAS,kkavathekar@salesforce.com,,(336) 222-7000,/services/images/photo/0015j00000EpzGvAAJ,Warm,,,,,,,,,,546732,,,2021-12-21T05:45:54.000Z,BTXT,,Customer,Maybe,www.burlington.com,
CC213425,,Yes,9.50E+08,,Paris,Canada,75251,,2,Place Jussieu,0055j000003CitPAAS,2021-12-21T05:45:54.000Z,,0015j00000EpzGwAAJ,TMT,FALSE,,,,0055j000003CitPAAS,12/21/2021,,,,,,Pyramid Construction Inc.,2680,17,0055j000003CitPAAS,kkavathekar@salesforce.com,,(014) 427-4427,/services/images/photo/0015j00000EpzGwAAJ,,,Paris,France,,,,75251,,2 Place Jussieu,4253,,,2021-12-21T05:45:54.000Z,PYR,,Dealer,Maybe,www.pyramid.com,
CC634267,,Yes,5.00E+07,,Lawrence,Canada,66045,Texas,1301,Hoch Drive,0055j000003CitPAAS,2021-12-21T05:45:54.000Z,,0015j00000EpzGxAAJ,TMT,FALSE,,,,0055j000003CitPAAS,12/21/2021,,,,,,Dickenson plc,120,2,0055j000003CitPAAS,kkavathekar@salesforce.com,,(785) 241-6200,/services/images/photo/0015j00000EpzGxAAJ,,,Lawrence,USA,,,,66045,KS,1301 Hoch Drive,6752,,,2021-12-21T05:45:54.000Z,,,Dealer,No,dickenson-consulting.com,
CD439877,,Yes,5.00E+08,,Chicago,United States,,New York,"2334 N. Michigan Avenue, Suite 1500 Chicago","IL 60601, USA",0055j000003CitPAAS,2021-12-21T05:45:54.000Z,"Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",0015j00000EpzGyAAJ,TMT,FALSE,,,,0055j000003CitPAAS,12/21/2021,,,,,,Grand Hotels & Resorts Ltd,5600,57,0055j000003CitPAAS,kkavathekar@salesforce.com,,(312) 596-1000,/services/images/photo/0015j00000EpzGyAAJ,Warm,,,,,,,,,"2334 N. Michigan Avenue, Suite 1500 Chicago, IL 60601, USA",2268,,,2021-12-21T05:45:54.000Z,GHTL,,Customer,Yes,www.grandhotels.com,
CD355118,,Yes,5.60E+09,,New York,,,New York,1301 Avenue of the Americas New York,NY 10019 USA,0055j000003CitPAAS,2021-12-21T05:45:54.000Z,World's third largest oil and gas company.,0015j00000EpzGzAAJ,Energy,FALSE,,,,0055j000003CitPAAS,12/21/2021,,,,,,United Oil & Gas Corp.,145000,955,0055j000003CitPAAS,kkavathekar@salesforce.com,,(212) 842-5500,/services/images/photo/0015j00000EpzGzAAJ,Hot,,,,,,,,,"1301 Avenue of the Americas New York, NY 10019 USA",4437,,,2021-12-21T05:45:54.000Z,UOS,,Customer,Yes,http://www.uos.com,
CC947211,,Yes,9.50E+08,,Portland,Canada,,Texas,620 SW 5th Avenue Suite 400 Portland,Oregon 97204 United States,0055j000003CitPAAS,2021-12-21T05:45:54.000Z,Commerical logistics and transportation company.,0015j00000EpzH0AAJ,TMT,FALSE,,,,0055j000003CitPAAS,12/21/2021,,,,,,Express Logistics and Transport,12300,150,0055j000003CitPAAS,kkavathekar@salesforce.com,,(503) 421-7800,/services/images/photo/0015j00000EpzH0AAJ,Cold,,,,,,,,,"620 SW 5th Avenue Suite 400 Portland, Oregon 97204 United States",8742,,,2021-12-21T05:45:54.000Z,EXLT,,Dealer,Maybe,www.expressl&t.net,
CD736025,,Yes,,,Tucson,United States,,New York,"888 N Euclid Hallis Center, Room 501 Tucson",AZ 85721 United States,0055j000003CitPAAS,2021-12-21T05:45:54.000Z,"Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",0015j00000EpzH1AAJ,TMT,FALSE,,,,0055j000003CitPAAS,12/21/2021,,,,,,University of Arizona,39000,3,0055j000003CitPAAS,kkavathekar@salesforce.com,,(520) 773-9050,/services/images/photo/0015j00000EpzH1AAJ,Warm,,,,,,,,,"888 N Euclid Hallis Center, Room 501 Tucson, AZ 85721 United States",7321,,,2021-12-21T05:45:54.000Z,,,Customer,Yes,www.universityofarizona.com,
CD355119-A,,Yes,,,,Canada,,Texas,"Kings Park, 17th Avenue, Team Valley Trading Estate, Gateshead",Tyne and Wear NE26 3HS United Kingdom,0055j000003CitPAAS,2021-12-21T05:45:54.000Z,,0015j00000EpzH2AAJ,Energy,FALSE,,,,0055j000003CitPAAS,12/21/2021,,,,,,"United Oil & Gas, UK",24000,34,0055j000003CitPAAS,kkavathekar@salesforce.com,,#ERROR!,/services/images/photo/0015j00000EpzH2AAJ,,,,,,,,,,"Kings Park, 17th Avenue, Team Valley Trading Estate, Gateshead, Tyne and Wear NE26 3HS United Kingdom",4437,,,2021-12-21T05:45:54.000Z,UOS,,Customer,No,http://www.uos.com,
