AccountCode__c,ACCOUNTSOURCE,Active__c,ANNUALREVENUE,BILLINGADDRESS,BILLINGCITY,BillingCountry,BILLINGPOSTALCODE,BillingState,BillingStreet,CREATEDBYID,CREATEDDATE,Description,ID,Industry,ISDELETED,JIGSAW,JIGSAWCOMPANYID,LASTACTIVITYDATE,LASTMODIFIEDBYID,LastModifiedDate__c,LASTREFERENCEDDATE,LASTVIEWEDDATE,MASTERRECORDID,NAICSCODE,NAICSDESC,NAME,NUMBEROFEMPLOYEES,NUMBEROFLOCATIONS__C,OwnerId,Owner.Email,PARENTID,PHONE,PHOTOURL,RATING,SHIPPINGADDRESS,SHIPPINGCITY,SHIPPINGCOUNTRY,SHIPPINGGEOCODEACCURACY,SHIPPINGLATITUDE,SHIPPINGLONGITUDE,SHIPPINGPOSTALCODE,SHIPPINGSTATE,SHIPPINGSTREET,SIC,SICDESC,SITE,SYSTEMMODSTAMP,TICKERSYMBOL,TRADESTYLE,Type,UPSELLOPPORTUNITY__C,WEBSITE,YEARSTARTED
,,,,,,,,,,0055j000003KfxOAAS,2021-12-21T05:49:58.000Z,,0015j00000ER9txAAD,,FALSE,,,,0055j000003KfxOAAS,2021-12-21T05:49:58.000Z,,,,,,Sample Account for Entitlements,,,0055j000003KfxOAAS,autoproc@00d5j0000044wkqea2,,,/services/images/photo/0015j00000ER9txAAD,,,,,,,,,,,,,,2021-12-21T05:49:58.000Z,,,,,,
CD451796,,Yes,1.39E+08,,Austin,CA,,TX,"312 Constitution Place Austin, TX 78767 USA",0055j000003CitPAAS,2021-12-21T05:45:54.000Z,"Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",0015j00000EpzGuAAJ,Financial Services,FALSE,,,,0055j000003CitPAAS,2021-12-21T05:45:54.000Z,,,,,,Edge Communications,1000,2,0055j000003CitPAAS,kkavathekar@salesforce.com,,(512) 757-6000,/services/images/photo/0015j00000EpzGuAAJ,Hot,,,,,,,,,"312 Constitution Place Austin, TX 78767 USA",6576,,,2021-12-21T05:45:54.000Z,EDGE,,Customer - Direct,Maybe,http://edgecomm.com,
CD656092,,,3.50E+08,,Burlington,US,27215,NY,525 S. Lexington Ave,0055j000003CitPAAS,2021-12-21T05:45:54.000Z,,0015j00000EpzGvAAJ,Healthcare,FALSE,,,,0055j000003CitPAAS,2021-12-21T05:45:54.000Z,,,,,,Burlington Textiles Corp of America,9000,6,0055j000003CitPAAS,kkavathekar@salesforce.com,,(336) 222-7000,/services/images/photo/0015j00000EpzGvAAJ,Warm,,,,,,,,,,546732,,,2021-12-21T05:45:54.000Z,BTXT,,Customer - Direct,Maybe,www.burlington.com,
CC213425,,Yes,9.50E+08,,Paris,CA,75251,,2 Place Jussieu,0055j000003CitPAAS,2021-12-21T05:45:54.000Z,,0015j00000EpzGwAAJ,Media and Telecommunications,FALSE,,,,0055j000003CitPAAS,2021-12-21T05:45:54.000Z,,,,,,Pyramid Construction Inc.,2680,17,0055j000003CitPAAS,kkavathekar@salesforce.com,,(014) 427-4427,/services/images/photo/0015j00000EpzGwAAJ,,,Paris,France,,,,75251,,2 Place Jussieu,4253,,,2021-12-21T05:45:54.000Z,PYR,,Channel Partner / Reseller,Maybe,www.pyramid.com,
CC634267,,Yes,5.00E+07,,Lawrence,CA,66045,TX,1301 Hoch Drive,0055j000003CitPAAS,2021-12-21T05:45:54.000Z,,0015j00000EpzGxAAJ,Media and Telecommunications,FALSE,,,,0055j000003CitPAAS,2021-12-21T05:45:54.000Z,,,,,,Dickenson plc,120,2,0055j000003CitPAAS,kkavathekar@salesforce.com,,(785) 241-6200,/services/images/photo/0015j00000EpzGxAAJ,,,Lawrence,USA,,,,66045,KS,1301 Hoch Drive,6752,,,2021-12-21T05:45:54.000Z,,,Channel Partner / Reseller,No,dickenson-consulting.com,
CD439877,,Yes,5.00E+08,,Chicago,US,,NY,"2334 N. Michigan Avenue, Suite 1500 Chicago, IL 60601, USA",0055j000003CitPAAS,2021-12-21T05:45:54.000Z,"Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",0015j00000EpzGyAAJ,Media and Telecommunications,FALSE,,,,0055j000003CitPAAS,2021-12-21T05:45:54.000Z,,,,,,Grand Hotels & Resorts Ltd,5600,57,0055j000003CitPAAS,kkavathekar@salesforce.com,,(312) 596-1000,/services/images/photo/0015j00000EpzGyAAJ,Warm,,,,,,,,,"2334 N. Michigan Avenue, Suite 1500 Chicago, IL 60601, USA",2268,,,2021-12-21T05:45:54.000Z,GHTL,,Customer - Direct,Yes,www.grandhotels.com,
CD355118,,Yes,5.60E+09,,New York,,,NY,"1301 Avenue of the Americas New York, NY 10019 USA",0055j000003CitPAAS,2021-12-21T05:45:54.000Z,World's third largest oil and gas company.,0015j00000EpzGzAAJ,Energy,FALSE,,,,0055j000003CitPAAS,2021-12-21T05:45:54.000Z,,,,,,United Oil & Gas Corp.,145000,955,0055j000003CitPAAS,kkavathekar@salesforce.com,,(212) 842-5500,/services/images/photo/0015j00000EpzGzAAJ,Hot,,,,,,,,,"1301 Avenue of the Americas New York, NY 10019 USA",4437,,,2021-12-21T05:45:54.000Z,UOS,,Customer - Direct,Yes,http://www.uos.com,
CC947211,,Yes,9.50E+08,,Portland,CA,,TX,"620 SW 5th Avenue Suite 400 Portland, Oregon 97204 United States",0055j000003CitPAAS,2021-12-21T05:45:54.000Z,Commerical logistics and transportation company.,0015j00000EpzH0AAJ,Media and Telecommunications,FALSE,,,,0055j000003CitPAAS,2021-12-21T05:45:54.000Z,,,,,,Express Logistics and Transport,12300,150,0055j000003CitPAAS,kkavathekar@salesforce.com,,(503) 421-7800,/services/images/photo/0015j00000EpzH0AAJ,Cold,,,,,,,,,"620 SW 5th Avenue Suite 400 Portland, Oregon 97204 United States",8742,,,2021-12-21T05:45:54.000Z,EXLT,,Channel Partner / Reseller,Maybe,www.expressl&t.net,
CD736025,,Yes,,,Tucson,US,,NY,"888 N Euclid Hallis Center, Room 501 Tucson, AZ 85721 United States",0055j000003CitPAAS,2021-12-21T05:45:54.000Z,"Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",0015j00000EpzH1AAJ,Media and Telecommunications,FALSE,,,,0055j000003CitPAAS,2021-12-21T05:45:54.000Z,,,,,,University of Arizona,39000,3,0055j000003CitPAAS,kkavathekar@salesforce.com,,(520) 773-9050,/services/images/photo/0015j00000EpzH1AAJ,Warm,,,,,,,,,"888 N Euclid Hallis Center, Room 501 Tucson, AZ 85721 United States",7321,,,2021-12-21T05:45:54.000Z,,,Customer - Direct,Yes,www.universityofarizona.com,
CD355119-A,,Yes,,,,CA,,TX,"Kings Park, 17th Avenue, Team Valley Trading Estate, Gateshead, Tyne and Wear NE26 3HS United Kingdom",0055j000003CitPAAS,2021-12-21T05:45:54.000Z,,0015j00000EpzH2AAJ,Energy,FALSE,,,,0055j000003CitPAAS,2021-12-21T05:45:54.000Z,,,,,,"United Oil & Gas, UK",24000,34,0055j000003CitPAAS,kkavathekar@salesforce.com,,#ERROR!,/services/images/photo/0015j00000EpzH2AAJ,,,,,,,,,,"Kings Park, 17th Avenue, Team Valley Trading Estate, Gateshead, Tyne and Wear NE26 3HS United Kingdom",4437,,,2021-12-21T05:45:54.000Z,UOS,,Customer - Direct,No,http://www.uos.com,
